Sex,Age,School failure,Whatsapp,W,Facebook,F,Instagram,I,Twitter,Tw,Snapchat,S,TikTok,Tk,Other social,O,Time spent on social media,Daily use of social media,Which Device,Time flows,Perceived anxiety during SM use,Perceived loneliness,SM checking,Video-games and online play,Time spent on line playng videogames,BSMAS,BSMAS cut-off underlined,RSES,CSIQ-A,STAI Y-1,STAI Y-2
Female,18,No,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,0,No,8-10,Yes,Smartphone,Faster,As always,As always,Infrequently (1-2 times),Often,1-3 hours,16,16,26,23,50,53
Female,19,Yes,1,Yes,1,Yes,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,Faster,As always,As always,Infrequently (1-2 times),Infrequently,1-3 hours,9,9,13,29,44,46
Male,18,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,4-6,Yes,Smartphone,As always,As always,As always,Never,Sometimes,Approximately one hour,21,21,18,16,37,40
Male,17,Yes,1,Yes,1,Yes,1,Yes,0,No,0,No,1,Yes,0,No,10 or more,Yes,Smartphone and computer,As always,As always,As always,Quite often (every Very often (every 10 minutes)0 minutes),Infrequently,1-3 hours,12,12,19,25,39,50
Male,17,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,Faster,Less anxious,Less alone,Infrequently (1-2 times),Everyday,More than five hours,11,11,18,19,42,48
Male,17,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,Faster,As always,As always,Never,Everyday,1-3 hours,9,9,20,32,47,47
Female,18,Yes,1,Yes,1,Yes,1,Yes,0,No,0,No,1,Yes,0,No,6-8,Yes,Smartphone,Faster,As always,Less alone,Infrequently (1-2 times),Never,I don't play,13,13,17,17,42,48
Male,17,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,1,Yes,2-4,Yes,Smartphone,As always,As always,As always,Never,Often,3-5 hours,18,18,19,29,42,50
Female,18,No,1,Yes,1,Yes,1,Yes,0,No,0,No,0,No,0,No,4-6,Yes,Smartphone,As always,As always,As always,Infrequently (1-2 times),Never,I don't play,18,18,19,14,31,42
Female,14,No,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,0,No,2-4,Yes,Smartphone,As always,Less anxious,Less alone,Infrequently (1-2 times),Infrequently,I don't play,13,13,24,32,43,51
Female,17,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,As always,As always,As always,Never,Never,I don't play,24,24,27,25,38,44
Male,17,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,1,Yes,2-4,Yes,Smartphone,As always,Less anxious,As always,Infrequently (1-2 times),Everyday,3-5 hours,17,17,15,19,45,45
Female,17,No,0,No,0,No,1,Yes,0,No,0,No,0,No,0,No,6-8,Yes,Smartphone,As always,As always,Less alone,Infrequently (1-2 times),Infrequently,<1 hour,24,24,14,21,36,45
Female,18,No,0,No,0,No,1,Yes,0,No,0,No,1,Yes,0,No,6-8,No,Smartphone and computer,Faster,As always,More alone,Quite often (every Very often (every 10 minutes)0 minutes),Often,3-5 hours,21,21,9,18,43,54
Female,17,No,0,No,0,No,1,Yes,0,No,0,No,1,Yes,0,No,2-4,Yes,Smartphone,Faster,As always,As always,Infrequently (1-2 times),Infrequently,I don't play,6,6,9,22,41,47
Female,16,Yes,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,0,No,8-10,Yes,Smartphone,As always,Less anxious,As always,Quite often (every Very often (every 10 minutes)0 minutes),Infrequently,<1 hour,14,14,19,19,39,47
Female,18,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,10 or more,Yes,Smartphone,As always,As always,As always,Very often (every 10 minutes),Sometimes,<1 hour,14,14,6,21,48,51
Female,16,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,0-2,Yes,Smartphone,Faster,As always,Less alone,Never,Never,I don't play,6,6,18,25,57,40
Male,16,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,0-2,Yes,Smartphone,As always,As always,As always,Never,Often,1-3 hours,17,17,14,23,36,54
Female,16,No,1,Yes,0,No,0,No,0,No,0,No,1,Yes,0,No,4-6,No,Smartphone,Slower,As always,As always,Infrequently (1-2 times),Never,I don't play,13,13,19,15,47,47
Male,19,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,0-2,Yes,Smartphone,Faster,As always,More alone,Never,Everyday,3-5 hours,9,9,4,12,39,48
Male,18,Yes,1,Yes,0,No,1,Yes,0,No,0,No,0,No,1,Yes,2-4,Yes,Smartphone,Faster,As always,More alone,Never,Everyday,3-5 hours,13,13,16,17,41,41
Female,15,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,As always,As always,As always,Never,Infrequently,<1 hour,12,12,17,22,49,42
Male,18,Yes,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone and computer,Faster,As always,As always,Never,Sometimes,Approximately one hour,9,9,25,25,46,43
Female,18,No,1,Yes,1,Yes,1,Yes,0,No,0,No,0,No,0,No,4-6,Yes,Smartphone,As always,As always,As always,Infrequently (1-2 times),Never,I don't play,15,15,19,14,31,42
Female,17,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,8-10,Yes,Smartphone,Faster,As always,As always,Infrequently (1-2 times),Infrequently,I don't play,18,18,15,27,46,49
