Age,Sex,Social_Media_Hours,Exercise_Hours,Sleep_Hours,Screen_Time_Hours,Survey_Stress_Score,Wearable_Stress_Score,Support_System,Academic_Performance
16,F,9.7,2.458001257,5.198925522,8.158188998,3,0.288962247,Moderate,Excellent
17,M,9.2,0.392094761,8.866096662,5.151993467,5,0.409446165,Moderate,Good
15,M,5.0,0.52011947,4.94309483,9.209325483,2,0.423837485,Moderate,Poor
17,F,8.0,1.022629619,5.262773303,9.823657952,5,0.666020828,Moderate,Average
17,F,1.4,1.225462167,6.196080351,11.33898971,5,0.928060356,High,Poor
14,M,9.8,1.046108433,9.282089175,5.677746722,5,0.070586489,Low,Poor
15,F,9.6,2.290941098,4.790720012,8.86016736,4,0.953353593,Low,Excellent
15,F,1.6,0.290854178,4.733405157,8.026162769,4,0.910201284,Moderate,Poor
15,M,3.0,1.053651059,6.96384993,7.252060695,5,0.1177323,Low,Poor
17,M,1.0,2.511719999,5.658463247,10.90416474,2,0.183585031,Moderate,Good
16,M,2.7,0.200391232,7.41236765,2.031673141,1,0.311595601,High,Excellent
15,F,8.2,2.827030523,6.709820108,4.821116061,3,0.559666041,Low,Good
18,F,3.8,2.958950527,6.609754638,7.382772395,4,0.134476196,Moderate,Good
17,M,0.9,0.265704521,4.671837823,3.782932616,1,0.200334953,Low,Good
14,M,3.4,0.873817567,4.846298141,11.07866534,4,0.902675294,Moderate,Excellent
16,F,9.8,1.117201998,8.926471465,8.475951176,4,0.109300631,Low,Average
18,M,6.3,2.329174106,9.315296425,6.778829946,4,0.398878265,High,Excellent
18,F,4.2,1.787780436,5.408101197,10.14701759,5,0.763001778,Low,Good
14,F,1.7,1.933097101,4.680763009,6.508861915,5,0.888583117,High,Average
16,M,9.9,2.272529468,4.320500032,7.586530119,4,0.336042563,High,Poor
17,M,8.2,0.353936998,7.649785682,2.027509956,4,0.164437505,Moderate,Average
13,F,2.8,2.499628371,8.292119275,5.657005302,3,0.737011659,Moderate,Excellent
16,M,0.7,2.116859413,6.236859935,3.387904724,1,0.772557759,Low,Good
14,M,0.6,1.732025176,8.078055205,8.896886807,1,0.980033444,High,Poor
18,M,1.2,2.669206004,8.277752893,6.79026959,2,0.139541851,Moderate,Poor
17,M,5.8,2.100919062,9.612053688,5.017575573,2,0.709420883,High,Good
16,F,9.3,0.605099888,4.389241827,6.678323394,2,0.417292538,High,Poor
13,F,5.0,1.289236143,5.153750339,4.09629888,5,0.914629438,High,Poor
13,F,8.4,1.482128601,4.411155926,11.25086632,5,0.407830884,Low,Poor
15,F,4.5,0.16565288,9.2079636,2.539726326,3,0.445960376,High,Excellent
15,M,7.1,2.86391254,8.75552296,10.65417035,5,0.126796598,High,Average
14,M,7.3,0.385731782,7.447852424,7.113587887,2,0.320936785,Low,Excellent
16,F,1.7,2.092383802,4.50198046,8.189464961,4,0.40084047,Low,Poor
16,F,3.6,1.518693108,5.639874152,5.026056209,2,0.017508754,Moderate,Excellent
18,M,6.4,0.07689675,5.786319088,11.66697617,3,0.437574468,High,Poor
18,F,0.7,2.774242428,7.364459176,4.818509585,4,0.336318551,High,Excellent
18,F,3.6,2.555510426,5.548263364,7.888779971,5,0.803839736,Low,Average
15,M,5.3,1.572773784,4.437759183,11.93416705,4,0.107112613,Low,Good
16,F,10.0,0.686827008,8.384573811,10.81094396,3,0.760211127,Moderate,Average
16,M,4.7,0.364868672,5.79448127,7.363298253,5,0.714011543,Low,Excellent
13,M,8.2,1.090177438,6.714245062,11.90374523,1,0.241782328,Low,Excellent
15,F,4.3,0.766284843,4.76599981,9.013698617,2,0.083271668,Low,Average
17,M,8.0,1.520073603,8.81528982,4.087004161,2,0.841833446,Low,Excellent
15,F,6.0,2.899227888,7.393191262,6.055962104,3,0.249430043,Moderate,Good
17,M,8.9,1.72486048,9.409513757,5.34493334,3,0.14556012,High,Good
13,F,4.1,2.669793168,6.972829378,5.440137083,2,0.359036602,High,Average
14,F,6.0,1.952636512,9.648554031,9.604564394,4,0.400882824,High,Poor
16,F,6.3,1.42573958,9.351209226,7.842629273,1,0.32608798,High,Good
13,M,4.2,2.563822688,7.458759139,2.380927116,1,0.976481113,High,Excellent
16,M,1.4,1.414104331,9.603360629,10.77448484,3,0.880820669,Low,Poor
18,F,0.9,2.605884512,5.938532484,4.967961405,3,0.872975496,High,Good
14,M,0.2,0.874730309,6.193852976,11.97074877,4,0.398767591,Low,Poor
14,F,8.7,0.386439221,4.272867708,11.5419073,3,0.96286964,High,Excellent
13,F,2.4,2.565943393,7.535205441,11.40530717,1,0.684015296,High,Average
14,M,2.1,1.762245491,8.33154382,10.11127604,2,0.831994669,Low,Average
17,F,7.4,2.667277195,8.641115141,4.206133317,1,0.500875125,High,Excellent
14,M,3.2,2.813481621,4.898897716,7.32632744,4,0.160617293,Low,Average
16,F,5.1,0.160885171,6.664954434,4.243026268,2,0.886885505,Moderate,Excellent
16,M,1.6,1.502907906,5.061179273,4.596754556,2,0.486426739,Moderate,Average
16,F,9.6,1.124893647,7.972764093,8.109517694,1,0.968554909,Moderate,Good
16,F,8.5,1.877575191,4.947678235,2.408335454,2,0.254861011,High,Average
17,M,8.6,2.380773592,9.424982104,11.69458567,2,0.992378991,High,Poor
15,F,4.1,0.841770648,5.383807874,11.18673173,3,0.222424682,High,Average
18,F,7.6,1.670395153,5.748413598,5.807675722,2,0.368166758,High,Average
13,M,1.4,2.12618574,9.105437933,7.15422448,4,0.594016523,Low,Average
16,F,0.1,0.403293249,6.750805661,6.661194193,2,0.693323059,Moderate,Average
14,M,0.2,2.442200718,4.143975675,10.82199779,3,0.720282169,Low,Good
16,F,5.9,1.8183288,6.967517507,8.886018763,5,0.476252409,Moderate,Excellent
14,M,4.6,2.848612311,4.507260012,4.781112474,5,0.076826957,Moderate,Good
18,F,5.2,1.018586757,9.912068312,6.468412545,4,0.496048152,Low,Good
18,F,0.1,0.324437827,7.528669423,6.289659757,4,0.334687953,Low,Poor
18,F,4.2,1.519503603,5.539195706,11.59335168,2,0.657655609,Low,Excellent
14,M,7.2,0.257432315,7.382306077,3.753109105,2,0.182275584,Moderate,Excellent
16,M,4.4,2.90857957,4.46120262,2.895763373,5,0.393912325,Low,Poor
18,M,7.3,0.116054875,8.799347826,10.80618832,5,0.966119154,High,Excellent
17,M,2.3,2.260511703,9.551968323,10.9668599,1,0.088867399,Low,Average
14,F,8.1,1.575307194,9.246666329,10.71739088,5,0.602334158,Moderate,Excellent
14,F,5.9,1.105861957,6.050545614,7.109769156,5,0.090648229,Moderate,Poor
16,M,2.1,0.197526494,5.954608718,8.597444283,4,0.156995656,Low,Poor
14,M,2.4,1.866500773,4.210525667,7.633630476,1,0.604934389,Low,Poor
14,M,6.3,1.755660988,7.908402152,2.694478261,1,0.443995523,Moderate,Poor
18,F,8.3,0.842649819,7.209428705,7.958348969,2,0.548498997,Moderate,Good
16,M,4.2,2.730665104,6.756078228,2.136141473,2,0.879872171,Low,Excellent
18,M,2.6,0.912330022,9.44578572,5.249874096,1,0.817240243,High,Good
18,F,8.7,1.349176232,5.007273406,11.32292576,1,0.887981449,High,Poor
16,F,6.7,1.631287368,4.0579976,5.040452696,2,0.616254921,High,Poor
13,M,4.5,0.300695635,4.439898713,11.39826643,4,0.48964317,Moderate,Good
18,F,4.9,2.796485158,5.340228627,4.501339571,4,0.459197582,High,Average
17,M,2.0,1.123608457,4.199713296,5.145622405,4,0.739808556,High,Excellent
17,F,6.3,0.242337642,7.017062264,8.284074964,4,0.521299878,Low,Good
14,M,3.6,1.161873521,5.884542731,9.616269728,2,0.105768796,Low,Excellent
17,M,10.0,1.800607641,5.082898048,7.01387768,3,0.141939024,High,Poor
14,M,4.8,1.540958015,8.50050445,10.82115687,5,0.357082768,Moderate,Poor
13,M,4.9,2.083625922,5.226707957,2.402404216,5,0.067823372,High,Poor
16,F,5.7,0.166451826,8.125630606,11.22194839,5,0.239231219,Low,Excellent
16,F,9.2,0.853621831,6.095589435,3.963077999,5,0.656400853,Low,Excellent
16,F,8.0,2.457691731,7.070966564,10.84238745,2,0.012430312,Low,Good
